cadere, o, cecidi, casum	tomber
causa, ae, f.	la cause, la raison; le procès/l'affaire judiciaire
causa (abl.; précédé d'un gén.)	en vue de, pour
causam agere	plaider une cause
cautus, a, um	qui se tient sur ses gardes, prudent
cavere, eo, cavi, cautum	prendre garde à qqn ou qqch. (+ acc.); éviter de (ne + subj.)/veiller sur (+ dat.); veiller à (faire qqch.: ut + subj.)
cavus, a, um	creux
cedere, o, cessi, cessum	marcher (sens initial, rare); se retirer; céder/lâcher pied; concéder (que: ut + subj.)
celare, o, rég.	cacher (qqch. à qqn: aliquem de aliqua re)
celeber, bris, bre	fréquenté (lieu); célébré (fête)/cité souvent, illustre
celebrare, o, rég.	fréquenter; fêter/célébrer; pratiquer (un art)
celer, eris, ere	rapide
celeritas, atis, f.	la rapidité
cella, ae, f.	"le cellier; (sens religieux) la ""chambre"" du dieu, le sanctuaire"
cena, ae, f.	le dîner, le repas principal
cenare, o, rég.	dîner
censere, eo, sui, sum	estimer (que: + prop. inf.)/décider (Sénat); évaluer, recenser
censor, oris, m.	le censeur
census, us, m.	le recensement; la liste des citoyens; la fortune (de qqn)
centesimus, a, um	centième
centum	cent
centuria, ae, f.	le centurie
centurio, onis, m.	le centurion
cernere, o, crevi, cretum	discerner, voir nettement/décider (voir decernere)
certamen, minis, n.	le combat; la rivalité
certare, o, rég.	combattre; rivaliser
certe	en tout cas; du moins/certainement
certior fieri, fio, factus sum	être informé
certiorem facere, io, feci, factum	informer
certo	de façon certaine
certus, a, um	certain, sur; décidé/précis; déterminé
cervices, um, f. pl.	la nuque, le cou/(poétique) la tête
cessare, o, rég.	tarder; être inactif; cesser (de: + inf.)/se reposer
ceteri, ae, a	tous les autres, le reste
ceterum	du reste, d'ailleurs/autrement (sans quoi)
ceterum	mais
cibus, i, m.	la nourriture
ciere, eo, ci(v)i, citum	mettre en mouvement; provoquer; pousser (des cris)
cingere, o, cinxi, cinctum	entourer; ceindre
cinis, eris, m.	la cendre; les cendres (d'un mort)
circa	autour
circa + acc.	autour de
circiter	environ
circum	autour
circum + acc.	autour de
circumdare, o, dedi, datum	entourer (placer autour)
circumire, eo, ii, circu(m)itum	aller autour, contourner; aller à la ronde, parcourir
circumspicere, io, spexi, spectum	regarder autour de soi
circumstare, o, steti	entourer (se tenir autour); investir
circumvenire, io, veni, ventum	entourer, cerner/assiéger; opprimer
cito	vite/aisément
citus, a, um	rapide
civilis, is, e	civil; qui concerne les citoyens; politique
civis, is, m.	le citoyen; le concitoyen
civitas, atis, f.	la cité (ensemble des citoyens), l'Etat; le droit de cité
clades, is, f.	le désastre
clam	en cachette
clamare, o, rég.	crier
clamor, oris, m.	le cri; les cris/l'acclamation
clarus, a, um	clair; illustre
classis, is, f.	la flotte/la division, la classe (de citoyens)
claudere, o, clausi, clausum	fermer
cliens, entis, m.	le client (protégé d'un riche)
clipeus, i, m.	le bouclier (rond); la protection
coepisse, coepi, coeptum	avoir commencé
coercere, eo, ui, itum	contenir; réprimer/enfermer
coetus, us, m.	l'assemblée, la réunion/le groupe
cogere, o, coegi, coactum	rassembler; forcer (à: + inf. ou ut + subj.)
cogitare, o, rég.	penser, réfléchir/songer
cogitatio, onis, f.	la pensée, la réflexion; l'idée, le projet
cognatus, a, um	parent (par le sang)
cognatus, i, m.	le parent (par le sang)
cognomen, minis, n.	le surnom
cognoscere, o, cognovi, cognitum	apprendre à connaître
cognovisse (parfait de cognoscere)	connaître, savoir (avoir appris)
cohibere, eo, ui, itum	tenir ensemble, maintenir; renfermer; empêcher
cohors, hortis, f.	la cohorte/la troupe; la suite (d'un personnage)
cohors praetoria	la cohorte prétorienne
cohortari, or, rég. (déponnent)	exhorter (à: ad + acc.; à faire qqch.: ut/ne + subj.)
coire, eo, ii, itum	aller ensemble, se réunir; s'unir
coire societatem	former une association
colere, o, colui, cultum	cultiver; soigner; honorer; habiter
collega, ae, m.	le collègue; le compagnon
colligere, o, legi, lectum	rassembler
collis, is, m.	la colline, la hauteur (terrain)
collocare, o, rég.	placer/arranger
colloqui, or, locutus sum (déponnent)	s'entretenir avec qqn (cum + abl.)
collum, i, n.	le cou
colonia, ae, f.	la colonie
colonus, i, m.	le paysan; l'habitant (d'une colonie)
color, oris, m.	la couleur/le teint
columbarium, ii, n.	(sens funèbre) la niche abritant une urne funéraire; le columbarium, édifice constitué par un ensemble de ces niches
columna, ae, f.	la colonne
coma, ae, f.	la chevelure
comes, itis, m.	le compagnon
comis, is, e	doux; aimable/bienveillant
comitari, or, rég. (déponnent)	accompagner, escorter
comitas, atis, f.	la douceur; l'amabilité; l'affabilité
comitatus, us, m.	l'escorte; la cour (d'un prince)
comitia, orum, n. pl.	les comices
commeatus, us, m.	le ravitaillement/le convoi (de vivres); le congé militaire, la permission
commemorare, o, rég.	rappeler (à autrui); raconter/évoquer; mentionner
commendare, o, rég.	recommander (qqn); confier
commercium, ii, n.	le commerce, les échanges; les relations
comminus	de près, corps à corps
committere, o, misi, missum	confier; entreprendre/mettre ensemble, mettre aux prises; commettre la faute de (ut + subj.)
scelus committere	commettre un crime
commodare, o, rég.	adapter; prêter; rendre service (à: + dat.)
commodum, i, n.	l'avantage, le profit/la commodité
commodus, a, um	avantageux/convenable; accommodant
commovere, eo, movi, motum	mettre en mouvement; émouvoir/remuer, ébranler
communicare, o, rég.	mettre en commun, partager
communis, is, e	commun
comparare (famille de parare), o, rég.	préparer; procurer
comparare (famille de par), o, rég.	comparer (à: cum + abl.); accoupler
compellere, o, puli, pulsum	pousser (donner une impulsion); chasser/refouler; contraindre (à: ut + subj.)
comperire, io, peri, pertum	découvrir, apprendre
compescere, o, pescui	retenir, arrêter, réprimer
complecti, or, plexus sum (déponnent)	embrasser, entourer/saisir (par la pensée)
complere, eo, evi, etum	remplir
complexus, us, m.	l'étreinte
complures, es, a	plusieurs, un bon nombre (de)
componere, o, posui, situm	placer ensemble, arranger; composer
comprehendere, o, di, sum	saisir/qqf., comprendre
comprimere, o, pressi, pressum	serrer, comprimer; tenir enfermé; arrêter
comprobare, o, rég.	approuver pleinement; confirmer
conari, or, rég. (déponnent)	tenter, s'efforcer (de: + inf.)
conatus, us, m.	l'effort, la tentative
concedere, o, cessi, cessum	se retirer; céder; permettre que (ut + subj.)/reconnaître que (+ prop. inf.)
concidere, o, cidi	s'écrouler; succomber
conciliare, o, rég.	gagner à sa cause; (se) procurer
concilium, ii, n.	l'assemblée, la réunion
concipere, io, cepi, ceptum	contenir; absorber; contracter (maladie); concevoir
concire, io, ci(v)i, citum	assembler; exciter, soulever
concitare, o, rég.	exciter/pousser vivement; susciter
concludere, o, clusi, clusum	enfermer; achever, conclure
concordia, ae, f.	la concorde
concupiscere, o, pi(v)i, pitum	désirer passionnément, convoiter
concurrere, o, curri, cursum	se rassembler; se heurter/accourir en masse
concursus, us, m.	la réunion; l'assaut/la rencontre
concutere, io, cussi, cussum	secouer violemment; disloquer/bouleverser
condemnare, o, rég.	condamner (voir damnare)
condere, o, didi, ditum	fonder; cacher/composer
condicio, onis, f.	la condition; la situation/l'état; la clause
conducere, o, duxi, ductum	rassembler/louer (prendre en location); intr. être avantageux
conferre, fero, contuli, collatum	réunir; comparer; transporter/employer, appliquer (à: in ou ad + acc.)
confertus, a, um	serré; plein (de: + abl.)
confestim	aussitôt, tout de suite
conficere, io, feci, fectum	achever/effectuer; épuiser
confidere, o, fisus sum	se fier à, compter sur (+ dat. ou abl.)
confirmare, o, rég.	affermir; affirmer/confirmer; prouver
confiteri, eor, fessus sum (déponnent)	avouer
confugere, io, fugi	se réfugier/avoir recours à (ad + acc.)
congerere, o, gessi, gestum	amasser, accumuler, rassembler
congredi, ior, gressus sum (déponnent)	rencontrer; combattre (qqn: cum + abl.)
conjectura, ae, f.	la supposition, l'hypothèse; la prédiction
conjicere, io, jeci, jectum	jeter/conjecturer (avancer comme hypothèse)
conjugium, ii, n.	l'union; le mariage
conjungere, o, junxi, junctum	joindre, unir
conjurare, o, rég.	prêter serment en groupe; conspirer
conjuratio, onis, f.	la conspiration, le complot
conjux, jugis, m. et f.	l'époux, l'épouse
conquirere, o, quisivi, situm	rechercher/rassembler
conscientia, ae, f.	la confidence; la complicité; la conscience
conscius, a, um	confident; complice; conscient (de: + gén.)
conscribere, o, scripsi, scriptum	enrôler; rédiger
consecrare, o, rég.	consacrer à une divinité; diviniser
consensio, onis, f.	l'accord
consensus, us, m.	l'accord
consentire, io, sensi, sensum	être d'accord (avec: + dat. ou cum + abl.)/conspirer
consequi, or, secutus sum (déponnent)	atteindre; obtenir/venir après; poursuivre
conserere, o, serui, sertum	attacher ensemble
conservare, o, rég.	conserver; sauver/épargner, respecter
considerare, o, rég.	examiner
considere, o, sedi, sessum	s'asseoir; s'établir/s'affaisser; se calmer
consilium, ii, n.	le projet; la décision; l'assemblée (qui délibère); le conseil (l'avis); la sagesse/la délibération; la diplomatie
consistere, o, stiti	se placer; s'arrêter/être composé de; reposer sur
consolari, or, rég. (déponnent)	consoler; soulager/réconforter
conspectus, us, m.	le regard/la vue
conspicere, io, spexi, spectum	apercevoir/remarquer; contempler
constans, antis	ferme; constant/concordant
constantia, ae, f.	la fermeté; la constance/la permanence; la concordance
constare, o, stiti	être composé de; exister/reposer sur (in + abl.); coûter (+ abl. ou gén.); être d'accord avec (+ dat. ou cum + abl.)
constat, constitit	c'est un fait établi que (+ prop. inf.)
constituere, o, ui, utum	établir; décider (de ou que: + inf. ou ut/ne + subj.)
consuescere, o, suevi, suetum	s'habituer (à faire qqch.: + inf.)
consuevisse (parfait de consuescere)	avoir l'habitude
consuetudo, dinis, f.	l'habitude, la coutume
consul, ulis, m.	le consul
consularis, is, e	de consul, consulaire
consularis, is, m.	l'ancien consul
consulatus, us, m.	le consulat
consulere, o, sului, sultum	délibérer (intr.); veiller à ou sur + dat.); consulter (+ acc.)
consultare, o, rég.	délibérer longuement ou souvent; consulter
consumere, o, sumpsi, sumptum	employer, dépenser, épuiser
contemnere, o, tempsi, temptum	mépriser
contemplari, or, rég. (déponnent)	considérer, contempler
contemptus, us, m.	le mépris
contendere, o, tendi, tentum	se hâter vers; lutter; s'efforcer de (+ inf.)/soutenir que (+ prop. inf.)
contentio, onis, f.	l'effort; la lutte/la tension
contentus, a, um	qui se contente de, satisfait de (+ abl.)
continens, entis	contigu (à: + dat.); continu; modéré, tempérant
continere, eo, tinui, tentum	contenir; maintenir/enfermer, borner; réprimer
contingere, o, tigi, tactum	arriver (se produire); toucher; concerner
contingit, tigit	il arrive que (ut/ut non + subj.)
continuo	à l'instant/immédiatement après
continuus, a, um	ininterrompu, continu
contio, onis, f.	l'assemblée du peuple; le discours public
contra	au contraire
contra + acc.	en face de; contre
contrahere, o, traxi, tractum	rassembler; resserrer
contrarius, a, um	qui est en face; opposé, contraire
contumelia, ae, f.	l'injure, l'affront
convenire, io, veni, ventum	se rassembler; convenir à (+ dat. ou ad + acc.); aller trouver qqn (+ acc.)/ être l'objet d'un accord
convenit, venit	il convient (de ou que: + inf. ou prop. inf.)/il y a accord sur le fait que (+ prop. inf. ou ut + subj.)
conventus, us, m.	l'assemblée, la réunion
convertere, o, ti, sum	tourner; transformer/se changer (en: in + acc.)
convicium, ii, n.	les éclats de voix, le vacarme; les cris injurieux, le blâme
convincere, o, vici, victum	convaincre d'une faute (+ gén. de la faute); démontrer, prouver (que: + prop. inf.)
conviva, ae, m.	le convive
convivium, ii, n.	le banquet; le repas
convocare, o, rég.	convoquer, réunir
copia, ae, f.	l'abondance; la possibilité (de faire qqch.)
copiae, arum f. pl.	les troupes; les ressources
copiosus, a, um	riche/bien pourvu
cor, cordis, n.	le coeur
coram + abl.	en présence de
cornu, us, n.	la corne; l'aile d'une armée/le cor
corona, ae, f.	la couronne
corpus, oris, n.	le corps/l'ensemble
corripere, io, ripui, reptum	s'emparer de (+ acc.), saisir
corrumpere, o, rupi, ruptum	détruire; corrompre
cottidianus (cotidianus), a, um	quotidien
cottidie (cotidie)	chaque jour
cras	demain
crassus, a, um	épais, dense; gras, gros; grossier, stupide
creare, o, rég.	produire, créer, élire (un magistrat)
creber, bra, brum	serré, dru
crebri, ae, a	fréquents, nombreux
credere, o, didi, ditum	croire; confier; se fier à (+ dat.)
cremare, o, rég.	brûler (qqch.), détruire par le feu
crescere, o, crevi, cretum	croître, grandir
crimen, minis, n.	l'accusation, le grief/(sens tardifs et poétique) la faute, le méfait
crinis, is, m.	le cheveu; la chevelure
cruciatus, us, m.	le supplice; les tourments
crudelis, is, e	cruel
crudelitas, atis, f.	la cruauté
cruentus, a, um	sanglant; sanguinaire, cruel
cruor, oris, m.	le sang
crus, cruris, n.	la jambe
crux, crucis, f.	la croix
cubare, o, bui, bitum	être couché
cubiculum, i, n.	la chambre à coucher
cubile, is, n.	la couche, le lit; la chambre; la demeure
culpa, ae, f.	la faute
cultus, us, m.	la culture (sens propre et fig.); le culte; le genre de vie, la civilisation
cum + abl.	avec (en compagnie de)
cum + ind.	quand, lorsque/dans le même temps que; toutes les fois que; (il y a tant de temps) que
cum + subj.	comme (temporel-causal); puisque; alors que; quoique, bien que
cum primum + ind.	dès que
cum... tum	non seulement... mais surtout
cunctari, or, rég. (déponnent)	temporiser; hésiter/tarder
cuncti, ae, a	tous (sans exception)
cunctus, a, um	tout (entier)
cupere, io, i(v)i, itum	désirer
cupiditas, atis, f.	le désir; la convoitise/la passion
cupido, dinis, f. (poétique)	le désir (violent), la passion
cupidus, a, um	désireux de (+ gén.)/qui souhaite; qui aime
cur?	pourquoi?
cura, ae, f.	le soin; le souci
curare, o, rég.	prendre soin de (qqn ou qqch.: + acc.); prendre soin que (ut/ne + subj.); faire faire qqch. (+ acc. et adj. verbal)
curia, ae, f.	la curie/la curie
currere, o, cucurri, cursum	courir
curriculum, i, n.	la course; la carrière
currus, us, m.	le char (à deux roues)
cursare, o, rég.	courir çà et là
cursus, us, m.	la course; le cours/l'allure
curvus, a, um	courbe, recourbé; déformé
custodia, ae, f.	la garde; la prison
custodire, io, i(v)i, itum	garder
custos, odis, m. et f.	le gardien, la gardienne
