maerere, eo	être affligé; déplorer
misereri, eor, miseritus (miseritus) sum (déponnent)	avoir pitié (de: +gén.)
miseret, miseritum (misertum) est	avoir pitié de (+acc. de la personne qui s'apitoie et gén. du complément)
me miseret pauperum	j'ai pitié des pauvres
miseria, ae, f.	le malheur; le souci
misericordia, ae, f.	la pitié
mitigare, o, rég.	amollir; adoucir; apaiser
mitis, is, e	doux
mittere, o, misi, missum	envoyer; laisser aller/faire partir, licencier; omettre (=omittere)
mobilis, is, e	qu'on peut mouvoir, mobile; agile
moderari, or, rég. (déponnent)	régler, diriger (+acc.); mettre un frein à, maîtriser (+dat.)
moderatio, onis, f.	le gouvernement; la mesure, la modération
modestia, ae, f.	la mesure, la retenue/la conduite sage
modicus, a, um	modéré
modo	il y a un instant; seulement/à l'instant
modo...modo	tantôt... tantôt
modo +subj.	pourvu que
modus, i, m.	la mesure; la manière/la sorte
moenia, moenium, n. pl.	les remparts/(poétique) l'enceinte; la ville
moles, is, f.	la masse; le fardeau; la difficulté/le môle
moleste	avec peine
molestia, ae, f.	la peine; le désagrément
molestus, a, um	pénible, désagréable (à: +dat.)
moliri, ior, itus sum (déponnent)	entreprendre; machiner/déplacer
mollire, io, i(v)i, itum	assouplir; amollir; adoucir
mollis, is, e	mou; doux/souple; tendre
momentum, i, n.	l'impulsion; le poids/l'importance; le moment
monere, eo, ui, itum	conseiller, avertir (que: +prop. inf.); engager à (faire qqch.: ut/ne +subj.)
mons, montis, m.	la montagne, le mont
monstrare, o, rég.	montrer, indiquer
monstrum, i, n.	le prodige; le monstre
monumentum, i, n.	le tombeau; le monument/le document
mora, ae, f.	le retard, le délai
morari, or, rég. (déponnent)	s'attarder; retarder (trans.)/s'arrêter; arrêter
morbus, i, m.	la maladie
mores, morum, m. (pl. de mos)	les moeurs; le caractère
mori, ior, mortuus sum (part. fut. moriturus) (déponnent)	mourir
mors, mortis, f.	la mort
mortalis, is, e	mortel
mos, moris, m.	la coutume/la volonté; le caprice
motus, us, m.	le mouvement; l'émotion/l'émeute
movere, eo, movi, motum	mettre en mouvement; émouvoir/remuer, ébranler
mox	bientôt/ensuite
mulcere, eo, mulsi, mulsum	caresser; apaiser
muliebris, is, e	de femme, féminin
mulier, eris, f.	la femme
multa, ae, f.	l'amende; la punition
multare, o, rég.	punir, condamner (à: +abl.)
multi, ae, a (pl. de multus; comparatif plures, superlatif plurimi)	beaucoup de, nombreux; [quelques fois sens de complures:] plusieurs
multi, orum m. pl.	beaucoup de gens, de nombreuses personnes
multitudo, dinis, f.	la multitude, la foule; le grand nombre
multo	beaucoup
multum	beaucoup
multus, a, um	abondant
mundus, a, um	propre, élégant
mundus, i, m.	le monde, l'univers
municipium, ii, n.	le municipe
munimentum, i, n.	le rempart
munire, io, i(v)i, itum	fortifier; protéger
munitio, onis, f.	la fortification/le travail de terrassement; le rempart
munus, eris, n.	la charge, les fonctions; le cadeau/le spectacle (offert au peuple), les jeux (de l'amphithéâtre)
murmur, uris, n.	le grondement/le bourdonnement
murus, i, m.	le mur; le rempart
Musa (musa), ae, f.	une des neuf Muses; la muse, le talent; pl. les Muses; la poésie; les études, la science
mutare, o, rég.	changer (qqch.)/échanger; se modifier
mutus, a, um	muet/silencieux
mutuus, a, um	réciproque; prêté, emprunté
